Compound Name,Formula,Water Solubility (mg/L),Water Solubility (g/L)
Heptanol,C21H48O3,1800,1.8
Heptenophos,C9H12ClO4P,2500,2.5
Heptopargil,C13H19NO,1000,1
Heptyl P-Hydroxybenzoate,C14H20O3,20,0.02
Heroin,C21H23NO5,600,0.6
Hex-3-Ene-Dioic Acid,C6H8O4,5900,5.9
Hexabarital,C12H16N2O3,435,0.435
Hexabromobenzene,C6Br6,16000,16
Hexabromobiphenyl,C12H4Br6,110,0.11
Hexachlorobenzene,C6Cl6,4700,4.7
Hexachlorobiphenyl,C12H4Cl6,3500,3.5
Hexachlorobutadiene,C4Cl6,3.2,0.0032
Hexachlorocyclohexane,C18H18Cl18,10,0.01
Hexachlorocyclopentadiene,C5Cl6,1.8,0.0018
Hexachlorodibenzo-p-Dioxin,C12H2Cl6O2,4000000,4000
Hexachloroethane,C2Cl6,50,0.05
Hexachlorophene,C13H6Cl6O2,140,0.14
Hexaconazole,C14H17Cl2N3O,17,0.017
Hexacosane,C26H54,1700,1.7
Hexadecanol,C16H34O,411,0.411
Hexaethyl Tetraphosphate,C12H30O13P4,1000000,1000
Hexaflumuron,C16H8Cl2F6N2O3,270,0.27
Hexafluoroethane,C2F6,7.78,0.00778
Hexamethylbenzene,C12H18,23.5,0.0235
Hexamethylcyclotrisiloxane,C6H18O3Si3,1.56,0.00156
Hexamethyldisiloxane,C6H18OSi2,93,0.093
Hexamethylene Diamine,C6H16N2,2460000,2460
Hexamethyleneimine,C6H13N,170000,170
Hexamethylenetetramine,C6H12N4,449000,449
Hexamethyl Melamine,C9H18N6,91,0.091
Hexamethylphosphoramide,C6H18N3OP,1000000,1000
Hexanal,C6H12O,5640,5.64
"Hexanal, 5-Hydroxy-, (r)-",C6H12O2,40000,40
"Hexanamide, 2-Ethyl-5-Methyl-",C9H19NO,700,0.7
"Hexanamide, 2-Ethylidene-",C8H15NO,6000,6
"Hexanamide, N-(aminocarbonyl)-2-Bromo-",C7H13BrN2O2,330,0.33
"Hexanamide, N-(aminocarbonyl)-2-Ethyl-",C9H18N2O2,400,0.4
"Hexanamide, N-(aminocarbonyl)-2-Ethylidene-",C9H16N2O2,300,0.3
"Hexanamide, N,n'-1,2-Ethanediylbis-",C14H28N2O2,200,0.2
Hexanebis(thioic) Acid,C6H10O2S2,3300,3.3
Hexanediamide,C6H12N2O2,4400,4.4
"Hexanediamide, N,n'-Bis(2-Hydroxyethyl)-",C10H20N2O4,600000,600
Hexanedioic Acid,C6H10O4,24300,24.3
"Hexanedioic Acid, 2,2-Diphenyl-",C18H18O4,200,0.2
"Hexanedioic Acid, 2,3,3-Trimethyl-",C9H16O4,5600,5.6
"Hexanedioic Acid, 2,5-Dihydroxy-2,5-Dimethyl-",C8H14O6,22000,22
"Hexanedioic Acid, 2,5-Dihydroxy-2-Methyl-5-(1-Me",C10H18O6,10000,10
"Hexanedioic Acid, 2,5-Dimercapto-",C6H10O4S2,703,0.703
"Hexanedioic Acid, 2,5-Dimethyl-",C10H18O4,67000,67
"Hexanedioic Acid, 2-Amino-",C6H11NO4,2200,2.2
"Hexanedioic Acid, 3-Butyl-",C10H18O4,8100,8.1
"Hexanedioic Acid, 3-Methyl-; Or 3-Methyladipic A",C7H12O4,248000,248
"Hexanedioic Acid, Bis(2-Ethoxyethyl) Ester",C14H26O6,2500,2.5
"Hexanedioic Acid, Bis(2-Methoxyethyl) Ester",C12H22O6,14200,14.2
"Hexanedioic Acid, Dibutyl Ester",C14H26O4,35,0.035
"Hexanedioic Acid, Diisononyl Ester",C24H46O4,22000,22
"Hexanedioic Acid, Dimethyl Ester",C8H14O4,6000,6
"Hexanedioic Acid, Monoethyl Ester",C8H14O4,76000,76
Hexanoic Acid,C6H12O2,10300,10.3
"Hexanoic Acid, 2,4-Dioxo-",C6H8O4,58000,58
"Hexanoic Acid, 2,5-Dimethyl-",C8H16O2,1500,1.5
"Hexanoic Acid, 2-Cyano-5-Methyl-3-Oxo-, Methyl E",C9H13NO3,345,0.345
"Hexanoic Acid, 2-Ethyl-",C8H16O2,2000,2
"Hexanoic Acid, 4-Ethyl-5-Oxo-",C8H14O3,56000,56
"Hexanoic Acid, 6-[(aminocarbonyl)amino]-",C7H14N2O3,1200,1.2
"Hexanoic Acid, 6-[(aminoiminomethyl)amino]-",C7H15N3O2,710,0.71
Hexanol,C18H42O3,6260,6.26
Hexatriacontane,C36H74,1700,1.7
Hexazinone,C12H20N4O2,33000,33
Hexene - Mixture Of Isomers,C6H12,50,0.05
Hexestrol,C18H22O2,12,0.012
Hexocyclium Methyl Sulfate,C21H36N2O5S,200000,200
Hexyl P-Hydroxybenzoate,C13H18O3,25,0.025
Hexyne,C18H30,366,0.366
Hexythiazox,C17H21ClN2O2S,50,0.05
Hfe-7500,C9H5F15O,6000,6
Hippuric Acid,C9H9NO3,3750,3.75
Histidine,C6H9N3O2,45600,45.6
Hloralantipyrine,C11H12N2O,100000,100
Homatropin,C16H21NO3,10000,10
Homatropine Hydrobromide,C16H22BrNO3,149000,149
Homidium Bromide,C21H20BrN3,20000,20
Hordenine,C10H15NO,7000,7
Hydantoin,C3H4N2O2,39700,39.7
"Hydantoin, 1-[[3-(5-Nitro-2-Furyl)allylidene]ami",C10H8N4O4S,31,0.031
"Hydantoin, 1-Bromo-3-Chloro-5,5-Dimethyl-",C5H6BrClN2O2,1500,1.5
"Hydantoin, 5-Methyl-5-(2-Piperidinoethyl)-",C11H19N3O2,34000,34
"Hydracrylic Acid, Pentyl Ester, Acetate",C10H18O4,30700,30.7
"Hydracrylic Acid, Propyl Ester, Acetate",C8H14O4,39900,39.9
Hydralazine Hydrochloride [jan],C8H8ClN4,44200,44.2
Hydramethylnon,C25H24F6N4,6000,6
Hydrastine,C21H21NO6,30,0.03
Hydrazine,H4N2,1000000,1000
"Hydrazinecarbothioamide, 2-[3-[5-Nitro-2-Furanyl",C8H8N4O3S,27,0.027
"Hydrazinecarbothioamide, 2-(4-Nitrophenyl)-N-2-p",C10H12N4O2S,310,0.31
"Hydrazinecarboxamide, 1-(2-Hydroxyhexyl)-2-[(5-n",C12H18N4O5,80,0.08
"Hydrazinecarboxamide, 1-(2-Hydroxypropyl)-2-[(5-",C9H12N4O5,600,0.6
"Hydrazinecarboxamide, 1-Ethyl-2-[(5-Nitro-2-Fura",C8H10N4O4,260,0.26
"Hydrazinecarboxamide, 2-(1-Methylethylidene)-n-p",C10H13N3O,900,0.9
"Hydrazinecarboxamide, 2-[3-[5-Nitro-2-Furanyl)-2",C8H8N4O4,161,0.161
"Hydrazinecarboxamide, 2-[(4-Hydroxy-3-Methoxyphe",C9H11N3O3,60,0.06
"Hydrazinecarboxamide, 2-Cyclohexylidene-",C7H13N3O,6000,6
"Hydrazinecarboxamide, 2-Ethylidene-",C3H7N3O,29000,29
"Hydrazinecarboxamide, N-(4-Ethoxyphenyl)-",C9H13N3O2,4400,4.4
"Hydrazinecarboxamide, N-Phenyl-",C7H9N3O,700,0.7
"Hydrazinecarboximidamide, N-[(4-Aminophenyl)sulf",C7H11N5O2S,1880,1.88
"Hydrazinecarboximidamide, N-Nitro-",CH5N5O2,2690,2.69
Hydrazobenzene,C12H12N2,221,0.221
Hydrobenzoin,C14H14O2,2500,2.5
Hydrochlorothiazide,C7H8ClN3O4S2,722,0.722
Hydrocinchonine,C19H24N2O,700,0.7
"Hydrocinnamic Acid, .alpha.-Ethylidene-",C11H12O2,480,0.48
"Hydrocinnamic Acid, .beta.-Methoxy-",C10H12O3,3640,3.64
Hydrocortisone,C21H30O5,320,0.32
Hydrocortisone-9a-Fluoro,C21H29FO5,140,0.14
Hydrocortisone Acetate,C23H32O6,14.1,0.0141
Hydrocortisone Tebutate,C27H40O6,1.42,0.00142
Hydrocyanic Acid,CHN,1000000,1000
Hydroflumethiazide,C8H8F3N3O4S2,300,0.3
Hydrogen,H2,1.62,0.00162
Hydrogen Fluoride,HF,1000000,1000
Hydrogen Peroxide,H2O2,1000000,1000
Hydrogen Sulfide,H2S,3740,3.74
Hydromorphone,C17H19NO3,1930,1.93
Hydroprene,C17H30O2,2,0.002
Hydroquinine,C20H26N2O2,290,0.29
Hydroquinone,C6H6O2,72000,72
Hydroxyacetic Acid,C2H4O3,705000,705
Hydroxyacetone,C3H6O2,1000000,1000
Hydroxycinnamic Acid,C9H8O3,1310,1.31
Hydroxymethyl Urea,C2H6N2O2,40600,40.6
Hydroxyphenamate,C11H15NO3,25000,25
Hydroxyproline,C5H9NO3,361000,361
Hydroxysimazine,C7H13N5O,32.8,0.0328
Hydroxyurea,CH4N2O2,1000000,1000
Hyenanchin,C15H18O7,11800,11.8
Hyocholic Acid,C24H40O5,18.4,0.0184
Hyodeoxycholic Acid,C24H40O4,59.8,0.0598
Hyoscyamine,C17H23NO3,3560,3.56
Hypoxanthine,C5H4N4O,700,0.7
Ibp (iprobenfos),C13H21O3PS,400,0.4
Ibuproxam,C13H19NO2,200,0.2
Icaridin,C12H23NO3,8200,8.2
Ichthyopte,C9H11N5O4,300,0.3
Icia0051 (sulcotrione),C14H13ClO5S,165,0.165
Imazalil Base,C14H14Cl2N2O,180,0.18
Imazamethabenz (isomer Mix),C16H20N2O3,1000,1
Imazamox,C15H19N3O4,4410,4.41
Imazapic,C14H17N3O3,2150,2.15
Imazapyr,C13H15N3O3,11300,11.3
Imazaquin,C17H17N3O3,90,0.09
Imazethapyr,C15H19N3O3,1400,1.4
Imazosulfuron,C14H15ClN6O5S,6.75,0.00675
Imibenconazole,C17H13Cl3N4S,1.7,0.0017
Imidacloprid,C9H10ClN5O2,380,0.38
"Imidazolidine, 1,3-Dinitro-",C3H6N4O4,1000,1
Imidazolidinetrione,C3H2N2O3,45000,45
Imidodicarbonic Diamide,C2H5N3O2,15200,15.2
"Imidodicarbonimidic Diamide, N-1-Naphthalenyl-",C12H13N5,1100,1.1
"Imidodicarbonimidic Diamide, N-2-Naphthalenyl-",C12H13N5,641,0.641
Imipenem,C13H18N2O4S,10000,10
Imipramine,C19H24N2,18.2,0.0182
Imiprothrin,C17H22N2O4,93.5,0.0935
Inabenfide,C19H15ClN2O2,1,0.001
Indane,C9H10,109,0.109
Indanofan,C20H17ClO3,14,0.014
Indazole,C7H6N2,826,0.826
"Indeno(1,2,3-Cd)pyrene",C22H12,19000,19
Indigo Carmine,C16H8N2Na2O8S2,10000,10
Indole,C8H7N,3560,3.56
Indole-3-Acetic Acid,C10H9NO2,1500,1.5
Indomethacin,C19H16ClNO4,93.7,0.0937
Indoxacarb,C22H17ClF3N3O7,20,0.02
Inosine,C10H12N4O5,15800,15.8
"Inosine, Dihydrate",C10H12N4O5,16000,16
Inositol,C6H12O6,143000,143
Inositol Monophosphate,C6H13O9P,333000,333
Iocetamic Acid,C12H13I3N2O3,5290,5.29
Iodamide,C12H11I3N2O4,3000,3
Iodine,I2,330,0.33
Iodine Cyanide,CIN,35600,35.6
Iodipamide,C20H14I6N2O6,460,0.46
Iodobenzene,C6H5I,340,0.34
Iodobutane,C8H18I2,182,0.182
Iodoethane,C2H5I,4000,4
Iodofenphos,C8H8Cl2IO3PS,10,0.01
Iodoform,CHI3,100,0.1
Iodophthalein Sodium,C20H8I4Na2O4,125000,125
Iodopyracet,C7H5I2NO3,360000,360
Iopamidol,C17H22I3N3O8,140000,140
Iopanoic Acid,C11H12I3NO2,348,0.348
Iopronic Acid,C15H18I3NO5,20100,20.1
Ioxynil,C7H3I2NO,50,0.05
Ioxynil-Sodium,C7H2I2NNaO,140000,140
Ipatone,C11H21N5O,3.09,0.00309
Ipazine,C10H18ClN5,40,0.04
Ipconazole,C18H24ClN3O,6.93,0.00693
Ipt (isoprothiolane),C12H18O4S2,54,0.054
Iridomyrmecin,C10H16O2,2000,2
Isazofos,C9H17ClN3O3PS,69,0.069
Isethionic Acid,C2H6O4S,1000000,1000
Isoamyl Acetate,C7H14O2,2000,2
Isoamylamine Hydrochloride,C5H14ClN,1000000,1000
Isoamyl Formate,C6H12O2,3500,3.5
Isoascorbic Acid,C6H8O6,400000,400
Isobutene,C4H8,263,0.263
Iso-Butylacetate,C6H12O2,6300,6.3
Isobutyl Acrylate,C7H12O2,2000,2
Isobutyl Alcohol,C4H10O,85000,85
Isobutylamine,C4H11N,1000000,1000
Isobutylamine Hydrochloride,C4H11ClN,1000000,1000
Isobutylbenzene,C10H14,10.1,0.0101
Isobutyl Bromide,C4H9Br,507,0.507
Isobutyl Chloride,C4H9Cl,926,0.926
Isobutyl Formate,C5H10O2,10200,10.2
Isobutyl Isobutyrate,C8H16O2,1000,1
Isobutyl Nitrate,C4H9NO3,1330,1.33
Isobutyltriethoxysilane,C10H24O3Si,86,0.086
Isobutyl Urethane,C7H15NO2,24800,24.8
Isobutyl Vinyl Ether,C6H12O,3000,3
Isobutyraldehyde,C4H8O,89000,89
Isobutyric Acid,C4H8O2,167000,167
Isocarbamid,C8H15N3O2,1300,1.3
Isocil,C8H11BrN2O2,2150,2.15
Isodecyl Diphenyl Phosphate,C22H31O4P,75,0.075
Isofenphos,C15H24NO4PS,22.1,0.0221
Isoflurane,C3H2ClF5O,4470,4.47
Isoflurophate,C6H14FO3P,15400,15.4
Isoguanine,C5H5N5O,62.5,0.0625
Isolan,C10H17N3O2,1000000,1000
Isoleucine,C6H13NO2,41200,41.2
Iso-Leucine,C6H13NO2,34400,34.4
"Isoleucine, N-(2-Cyanoethyl)-",C9H14N2O2,19000,19
Isomethiozin,C12H20N4OS,10,0.01
Isoniazid,C6H7N3O,140000,140
Isonicotinic Acid,C6H5NO2,5200,5.2
"Isonicotinic Acid, [3-(5-Nitro-2-Furyl)allyliden",C13H10N4O4,30,0.03
"Isonicotinic Acid, (3-Carboxy-1-Methylpropyliden",C11H13N3O3,6000,6
Isonicotinic Acid N-Oxide,C6H5NO3,11000,11
Isononene,C9H18,1.12,0.00112
Isooctyl Alcohol,C8H18O,640,0.64
Iso-Oxazole,C3H3NO,167000,167
Isopentane,C5H12,48,0.048
Isopentanol,C5H12O,26700,26.7
Isopentyl Nitrate,C5H11NO3,440,0.44
Isopestox,C6H16FN2OP,80000,80
Isophorone,C9H14O,12000,12
Isophthalic Acid,C8H6O4,120,0.12
Isoprocarb,C11H15NO2,400,0.4
Isopropalin,C15H23N3O4,11,0.011
Isopropanol,C3H8O,1000000,1000
Isopropazol,C15H12BrClF4N2O2,530,0.53
Isopropenyl Methyl Ether,C4H8O,1000000,1000
Isopropyl (1-(4-Chloro)phenylsulfonyl) Cyclopent,C15H19ClO4S,7.41,0.00741
Isopropyl (1-(4-Chloro)phenylsulfonyl) Cycloprop,C13H15ClO4S,87.3,0.0873
Isopropyl (1-(4-Methyl)phenylsulfonyl) Cyclobuta,C15H20O4S,135,0.135
Isopropyl (1-(4-Methyl)phenylsulfonyl) Cycloprop,C14H18O4S,166,0.166
Isopropyl (1-(4-Nitro)phenylsulfonyl) Cyclobutan,C14H17NO6S,56.9,0.0569
Isopropyl (1-(4-Nitro)phenylsulfonyl) Cyclohepta,C17H23NO6S,3.14,0.00314
Isopropyl (1-(4-Nitro)phenylsulfonyl) Cyclohexan,C16H21NO6S,4.69,0.00469
Isopropyl (1-(4-Nitro)phenylsulfonyl) Cyclopropa,C13H15NO6S,17.2,0.0172
"Isopropyl 4,4'dibromobenzilate",C17H16Br2O3,10,0.01
"Isopropyl-4,4'-Dichlorobenzilate",C17H16Cl2O3,1.5,0.0015
Isopropyl (4-Chlorophenyl)sulfonyl Acetate,C11H13ClO4S,1080,1.08
Isopropyl Acetate,C5H10O2,30900,30.9
Isopropylamine,C3H9N,1000000,1000
Isopropylbiphenyl,C15H16,60,0.06
Isopropyl Formate,C4H8O2,20700,20.7
Isopropylnaphthalene,C26H28,55,0.055
Isopropyl Nitrate,C3H7NO3,3650,3.65
Isopropyl Phenyl Carbamate,C10H13NO2,179,0.179
Isopropyl Phenyl Diphenyl Phosphate,C21H21O4P,2.2,0.0022
Isopropyl Propionate,C6H12O2,5950,5.95
Isopropyl T-Butyl Ether,C7H16O,500,0.5
"Isopropylxanthic Acid, Sodium Salt",C4H7NaOS2,460000,460
Isoproturon,C12H18N2O,65,0.065
Isoquinoline,C9H7N,4520,4.52
Isoserine,C3H7NO3,15300,15.3
Isothioate,C7H17O2PS3,97,0.097
Isouron,C10H17N3O2,790,0.79
Isovaleric Acid,C5H10O2,40700,40.7
Isovaleryl Diethylamide,C9H19NO,40000,40
"Isovaline, N-Formyl-, Dl-",C6H11NO3,38000,38
Isoxaben,C18H24N2O4,1.42,0.00142
Isoxaflutole,C15H12F3NO4S,6.2,0.0062
Isoxapyrifop,C17H16Cl2N2O4,9.8,0.0098
Isoxathion,C13H16NO4PS,1.9,0.0019
Janus Blue,C30H24ClN5O,20000,20
Kasugamycin,C14H21N3O3,325,0.325
Kebuzone,C19H18N2O3,174,0.174
Kepone,C10Cl10O,2.7,0.0027
Ketamine,C13H17Cl2NO,200000,200
Ketanserin,C22H22FN3O3,10,0.01
Ketoconazole,C26H28Cl2N4O4,10,0.01
Ketoprofen,C16H14O3,51,0.051
Khellin,C14H12O5,1040,1.04
Kinoprene,C18H28O2,5.22,0.00522
Kitazine,C11H17O3PS,1000,1
Kryptocyanine,C25H25IN2,1000,1
Ktu 3616 (br Enantiomer),C15H18Cl3NO,1.8,0.0018
Kwg 4168,C18H35NO2,470,0.47
Labetalol,C19H24N2O3,117,0.117
"Lactamide, N-Decyl-",C13H27NO2,100,0.1
"Lactamide, N-Octyl-",C11H23NO2,1050,1.05
Lactic Acid,C3H6O3,1000000,1000
"Lactic Acid, 2-Methyl-, Isobutyl Ester",C8H16O3,30000,30
Lactic Acid Decyl Ester,C13H26O3,10300,10.3
"Lactic Acid, Dimethylthiocarbamate",C6H11NO3S,20000,20
"Lactic Acid, Dimethylthiocarbamate, D-(-)-",C6H11NO3S,20000,20
Lactic Acid Dodecylester,C15H30O3,10100,10.1
"Lactic Acid, O-Ester With S-Ethyl Dithiocarbonat",C6H10O3S2,7230,7.23
Lactitol,C12H24O11,667000,667
Lactofen,C19H15ClF3NO7,10,0.01
Lactulose,C12H22O11,764000,764
"L-Alanine, 3-(phenyldithio)-",C9H11NO2S2,500,0.5
"L-Alanine, N-[(2-Methyl-5-Nitrophenyl)sulfonyl]-",C10H12N2O6S,1400,1.4
"L-Alanine, N-(aminocarbonyl)-",C4H8N2O3,14300,14.3
"L-Alanine, N-(aminoiminomethyl)-",C4H9N3O2,83000,83
"L-Alanine, N-(chloroacetyl)-, Ethyl Ester",C7H12ClNO3,66700,66.7
"L-Alanine, N-[(ethylthio)thioxomethyl]-",C6H11NO2S2,21100,21.1
"L-Alloisoleucine, N-Acetyl-",C8H15NO3,43700,43.7
L-Altraric Acid,C6H10O8,333000,333
Landrin,C11H15NO2,2000,2
"L-Ascorbic Acid, 2,2'-[sulfonylbis(4,1-Phenylene",C24H24N2O12S,4,0.004
"L-Asparagine, N2-(aminocarbonyl)-",C5H9N3O4,54000,54
"L-Asparagine, N2-(chloroacetyl)-",C6H9ClN2O4,100000,100
"L-Aspartic Acid, N-[(ethylthio)thioxomethyl]-",C7H11NO4S2,9750,9.75
"L-Aspartic Acid, N-Methyl-",C5H9NO4,25900,25.9
Laurolinium Acetate,C24H38N2O2,333000,333
"L-Cysteine, N-Acetyl-s-(2-Chlorophenyl)-",C11H12ClNO3S,1000,1
"L-Cysteine, N-Acetyl-s-(3,4-Dichlorophenyl)-",C11H11Cl2NO3S,400,0.4
"L-Cysteine, N-Acetyl-s-(3-Chlorophenyl)-",C11H12ClNO3S,1400,1.4
"L-Cysteine, S,s'-1,4-Butanediylbis-",C7H14N2O4S2,70,0.07
"L-Cysteine, S,s'-1,5-Pentanediylbis-",C7H14N2O4S2,380,0.38
"L-Cysteine, S,s'-1,6-Hexanediylbis-",C7H14N2O4S2,550,0.55
"L-Cystein, N-Acetyl-s-(4-Chlorophenyl)-",C11H12ClNO3S,600,0.6
Lead Acetate,C4H8O4Pb,1600,1.6
Lead Carbonate,CO3Pb,1.1,0.0011
Lead Formate,C2H2O4Pb,15400,15.4
Lead Subacetate,C4H8O8Pb3,62500,62.5
Lead Sulfate,O4PbS,32,0.032
Lead Thiocyanate,C2N2PbS2,5000,5
Lenacil,C13H18N2O2,6,0.006
Leptophos,C13H10BrCl2O2PS,300,0.3
Leucine,C6H13NO2,21500,21.5
"Leucine, Ethyl Ester",C8H17NO2,43800,43.8
"Leucine, N-(n-Carboxyglycyl)-, N-Ethyl Ester, L-",C11H20N2O5,10000,10
Leucopterin,C6H5N5O3,1.33,0.00133
Levothyroxine Sodium,C15H10I4NNaO4,150,0.15
"L-Glutamic Acid, N-L-Leucyl-",C11H20N2O5,33000,33
"L-Glutamic Acid, N,n-Bis(2-Cyanoethyl)-",C11H15N3O4,150000,150
Lg-Tartaric Acid Monomethyl Ester,C5H8O6,250000,250
"L-Histidine, 3-Methyl-",C7H11N3O2,200000,200
L-Homoserine,C4H9NO3,1000000,1000
Librium,C16H14ClN3O,2000,2
Lidocaine,C14H22N2O,4100,4.1
Lidoflazine,C29H33F2N3O,100,0.1
Light Green Sf Yellowish,C37H35N2Na2O9S3,100000,100
Limonene,C10H16,7.57,0.00757
Linalool,C10H18O,1590,1.59
Linoleic Acid,C18H32O2,1.59,0.00159
Linuron,C9H10Cl2N2O2,75,0.075
Lisinopril,C21H31N3O5,97000,97
Lithium Acetylsalicylate,C9H7LiO4,500000,500
Lithium Benzoate,C7H5LiO2,250000,250
Lithium Carbonate,CLi2O3,13000,13
Lithium Formate,CHLiO2,250000,250
Lithium Oxalate,C2Li2O4,66700,66.7
Lithocholic Acid,C24H40O3,37.7,0.0377
"L-Leucine, N-Acetyl-",C8H15NO3,8100,8.1
"L-Leucine, N-Methyl-",C7H15NO2,44400,44.4
L-Malic Acid,C4H6O5,364000,364
"L-Mannitol, 6-Deoxy-1,3:2,5-Di-o-Methylene-",C8H14O5,52100,52.1
"L-Methionine, N-Acetyl-",C7H13NO3S,307000,307
Lorazepam,C15H10Cl2N2O2,80,0.08
"L-Prolinamide,n2-[(benzoyloxy)acetyl]-",C14H16N2O4,1500,1.5
"L-Proline, 1-(2-Cyanoethyl)-5-Oxo-",C8H10N2O3,496000,496
"L-Proline, 5-Oxo-",C5H7NO3,476000,476
"L-Proline, N-[(benzoyloxy)acetyl]-",C14H15NO5,7100,7.1
"L-Proline, N-[(benzoyloxy)acetyl]-, Methyl Ester",C15H17NO5,2400,2.4
"L-Serine, N-l-Seryl-",C6H12N2O5,50000,50
L-Sorbose,C6H12O6,360000,360
L-Sparteine,C15H26N2,3040,3.04
L-Theanine,C7H14N2O3,278000,278
"L-Tryptophan, N-Acetyl, Ethyl Ester",C15H18N2O3,1470,1.47
"L-Tyrosine, 3,5-Dibromo-",C9H9Br2NO3,4000,4
"L-Tyrosine, 3,5-Dichloro-",C9H9Cl2NO3,4400,4.4
"L-Tyrosine, N-(3-Carboxy-1-Oxopropyl)-O-(4-Hydro",C19H15I4NO7,9500,9.5
"L-Tyrosine, N-Acetyl-3,5-Dibromo-",C11H11Br2NO4,2500,2.5
"L-Tyrosine, N-Acetyl-, Ethyl Ester",C13H17NO4,3480,3.48
"L-Tyrosine, N-Methyl-",C10H13NO3,1440,1.44
"L-Tyrosine, O-(4-Hydroxy-3,5-Diiodophenyl)-3,5-D",C17H15I4NO4,20,0.02
Lufenuron,C17H8Cl2F8N2O3,600,0.6
Lumazine,C6H4N4O2,1250,1.25
"Lumazine, 6,7-Diethyl-",C10H12N4O2,909,0.909
"L-Valine, N-Acetyl-",C7H13NO3,69500,69.5
"L-Valine, N-Formyl-3-Methyl-",C7H13NO3,2000,2
"L-Valine, N-Glycyl-",C7H14N2O3,500000,500
Lyral,C13H22O2,6100,6.1
Lysine,C6H14N2O2,584000,584
M-Acetylaminoacetophenone,C10H11NO2,4220,4.22
Maclurin,C13H10O6,5000,5
Magnesium Benzoate,C14H10MgO4,50000,50
Magnesium Chlorate,Cl2MgO6,570000,570
Magnesium Oxalate,C2MgO4,667,0.667
Malachite Green,C23H25ClN2,40000,40
Malachite Green Carbinol,C23H26N2O,300,0.3
Malachite Green Oxalate,C25H26N2O4,40000,40
Malaoxon,C10H19O7PS,7500,7.5
Malathion,C10H19O6PS2,143,0.143
Maleanilic Acid,C10H9NO3,1000,1
Maleic Acid,C4H4O4,441000,441
Maleic Hydrazide,C4H4N2O2,4510,4.51
Malic Acid,C4H6O5,592000,592
Malic Acid Dibutyl Ester,C12H22O5,750,0.75
"Malic Acid, S-Ethyl Dithiocarbonate",C7H10O5S2,5990,5.99
"Malonamide, 2,2-Diethyl-N,n'-Dimethyl-",C9H18N2O2,200000,200
"Malonamide, 2,2-Dihydroxy-N,n'diphenyl-",C15H14N2O4,1000,1
Malonic Acid,C3H4O4,763000,763
"Malonic Acid, (o-Carboxybenzyl)-, 1,3-Diethyl Es",C15H18O6,450,0.45
Malononitrile,C3H2N2,133000,133
Maltose,C12H22O11,780000,780
M-Aminobenzonitrile,C7H6N2,8000,8
Mancozeb,C8H12MnN4S8Zn,6.2,0.0062
Mandipropamid,C23H22ClNO4,4.2,0.0042
Mannitol,C6H14O6,216000,216
Martius Yellow,C10H6N2O5,4000,4
Mb-599,C14H18O3,1,0.001
M-Bromobenzoic Acid,C7H5BrO2,402,0.402
M-Bromochlorobenzene,C6H4BrCl,118,0.118
M-Bromocinnamic Acid,C9H7BrO2,525,0.525
M-Bromofluorobenzene,C6H4BrF,378,0.378
M-Bromophenol,C6H5BrO,23000,23
M-Bromotoluene,C7H7Br,51.3,0.0513
M-Carboxyphenylacetic Acid,C9H8O4,3000,3
M-Chloroanisole,C7H7ClO,235,0.235
M-Chlorobenzoic Acid,C7H5ClO2,450,0.45
M-Chlorofluorobenzene,C6H4ClF,589,0.589
M-Chlorophenoxyacetic Acid,C8H7ClO3,1190,1.19
M-Chlorotoluene,C7H7Cl,38,0.038
Mcpa - Sodium Salt,C9H8ClNaO3,270000,270
Mcpa-Thioethyl,C11H13ClO2S,2.3,0.0023
Mcpb,C11H13ClO3,48,0.048
Mcpb-Ethyl,C13H17ClO3,10,0.01
Mcpp,C10H11ClO3,880,0.88
M-Cresol,C7H8O,22200,22.2
M-Cymene,C10H14,42.5,0.0425
M-Dibromobenzene,C6H4Br2,67.5,0.0675
M-Diethylbenzene,C10H14,24,0.024
M-Difluorobenzene,C6H4F2,1140,1.14
"M-Dioxane, 5-Methyl-5-Nitro-2-Propyl-",C8H15NO4,3000,3
Me (1-(4-Bromo)phenylsulfonyl) Cyclobutane Carbo,C12H13BrO4S,93.9,0.0939
Me (1-(4-Bromo)phenylsulfonyl) Cyclohexane Carbo,C14H17BrO4S,12,0.012
Me (1-(4-Bromo)phenylsulfonyl) Cyclopentane Carb,C13H15BrO4S,33.9,0.0339
Me (1-(4-Chloro)phenylsulfonyl) Cyclobutane Carb,C12H13ClO4S,289,0.289
Mebendazole,C16H13N3O3,71.3,0.0713
Mebutamate,C10H20N2O4,1000,1
Mecarbam,C10H20NO5PS2,1000,1
Mechlorethamine,C5H11Cl2N,12000,12
Meclofenamic A,C14H11Cl2NO2,30,0.03
Meconin,C10H10O4,2500,2.5
Mecoprop,C10H11ClO3,620,0.62
Mecoprop-p,C10H11ClO3,860,0.86
"Mecoprop, Potassium Salt",C10H10ClKO3,795000,795
Medinoterb Acetate,C13H16N2O6,10,0.01
Medrogestone,C23H32O2,1.82,0.00182
Mefenacet,C16H14N2O2S,4,0.004
Mefenamic Acid,C15H15NO2,20,0.02
Mefenpyr-Diethyl,C16H18Cl2N2O4,20,0.02
Mefluidide,C11H13F3N2O3S,180,0.18
Mefose,C11H8F17NO3S,81.3,0.0813
Megestrol Acetate,C24H32O4,2,0.002
Melatonin,C13H16N2O2,2000,2
